       Satname        Passed, GB     Camera, GB        Max, GB      Overloads         Input, GB/s        Output, GB/s    Storage, GB
KinoSat_110101           4801.92        5030.47        6763.50              0             0.50000             0.12500           1000
KinoSat_110102           4841.48        5077.04        6944.95              0             0.50000             0.12500           1000
KinoSat_110103           4864.48        5099.70        7088.69              0             0.50000             0.12500           1000
KinoSat_110104           4821.24        5064.23        7100.02              0             0.50000             0.12500           1000
KinoSat_110105           4798.26        5047.27        7135.25              0             0.50000             0.12500           1000
KinoSat_110106           4811.20        5066.31        7006.97              0             0.50000             0.12500           1000
KinoSat_110107           4687.57        4938.03        6875.59              0             0.50000             0.12500           1000
KinoSat_110108           4723.03        4977.24        6805.72              0             0.50000             0.12500           1000
KinoSat_110109           4749.74        4995.37        6797.84              0             0.50000             0.12500           1000
KinoSat_110110           4780.28        5006.88        6807.48              0             0.50000             0.12500           1000
KinoSat_110201           5294.19        5522.24        8455.12              0             0.50000             0.12500           1000
KinoSat_110202           5247.11        5480.91        8376.17              0             0.50000             0.12500           1000
KinoSat_110203           5267.78        5515.76        8388.39              0             0.50000             0.12500           1000
KinoSat_110204           5140.94        5379.60        8237.21              0             0.50000             0.12500           1000
KinoSat_110205           5089.29        5338.62        7996.77              0             0.50000             0.12500           1000
KinoSat_110206           4989.31        5245.19        7701.62              0             0.50000             0.12500           1000
KinoSat_110207           5164.21        5416.82        7762.45              0             0.50000             0.12500           1000
KinoSat_110208           5234.09        5470.36        8105.36              0             0.50000             0.12500           1000
KinoSat_110209           5394.54        5617.64        8332.28              0             0.50000             0.12500           1000
KinoSat_110210           5335.07        5552.78        8533.05              0             0.50000             0.12500           1000
KinoSat_110301           5430.47        5667.01        9442.03              0             0.50000             0.12500           1000
KinoSat_110302           5343.33        5584.20        9494.92              0             0.50000             0.12500           1000
KinoSat_110303           5401.26        5650.24        9491.35              0             0.50000             0.12500           1000
KinoSat_110304           5362.20        5606.57        9448.76              0             0.50000             0.12500           1000
KinoSat_110305           5403.62        5658.13        9397.14              0             0.50000             0.12500           1000
KinoSat_110306           5472.23        5735.64        9548.22              0             0.50000             0.12500           1000
KinoSat_110307           5449.64        5696.62        9484.71              0             0.50000             0.12500           1000
KinoSat_110308           5366.24        5608.52        9461.00              0             0.50000             0.12500           1000
KinoSat_110309           5280.23        5506.26        9324.21              0             0.50000             0.12500           1000
KinoSat_110310           5252.81        5477.69        9200.52              0             0.50000             0.12500           1000
KinoSat_110401           5553.74        5783.56       10997.81              0             0.50000             0.12500           1000
KinoSat_110402           5483.14        5721.12       10904.18              0             0.50000             0.12500           1000
KinoSat_110403           5388.86        5628.12       10612.75              0             0.50000             0.12500           1000
KinoSat_110404           5389.71        5638.98       10563.80              0             0.50000             0.12500           1000
KinoSat_110405           5401.11        5664.17       10375.66              0             0.50000             0.12500           1000
KinoSat_110406           5383.82        5628.80       10164.35              0             0.50000             0.12500           1000
