       Satname        Passed, GB         Input, GB/s        Output, GB/s    Storage, GB
KinoSat_110101           1001.74             0.50000             0.12500           1000
KinoSat_110102            988.05             0.50000             0.12500           1000
KinoSat_110103           1095.27             0.50000             0.12500           1000
KinoSat_110104            978.82             0.50000             0.12500           1000
KinoSat_110105           1015.77             0.50000             0.12500           1000
KinoSat_110106           1058.84             0.50000             0.12500           1000
KinoSat_110107            984.21             0.50000             0.12500           1000
KinoSat_110108           1001.20             0.50000             0.12500           1000
KinoSat_110109            981.95             0.50000             0.12500           1000
KinoSat_110110            919.88             0.50000             0.12500           1000
KinoSat_110201           1158.17             0.50000             0.12500           1000
KinoSat_110202           1115.57             0.50000             0.12500           1000
KinoSat_110203           1155.07             0.50000             0.12500           1000
KinoSat_110204           1110.06             0.50000             0.12500           1000
KinoSat_110205           1106.11             0.50000             0.12500           1000
KinoSat_110206            995.78             0.50000             0.12500           1000
KinoSat_110207           1100.44             0.50000             0.12500           1000
KinoSat_110208           1078.29             0.50000             0.12500           1000
KinoSat_110209           1161.25             0.50000             0.12500           1000
KinoSat_110210           1176.90             0.50000             0.12500           1000
KinoSat_110301           1335.78             0.50000             0.12500           1000
KinoSat_110302           1402.08             0.50000             0.12500           1000
KinoSat_110303           1451.44             0.50000             0.12500           1000
KinoSat_110304           1339.77             0.50000             0.12500           1000
KinoSat_110305           1362.89             0.50000             0.12500           1000
KinoSat_110306           1384.53             0.50000             0.12500           1000
KinoSat_110307           1356.25             0.50000             0.12500           1000
KinoSat_110308           1410.43             0.50000             0.12500           1000
KinoSat_110309           1338.61             0.50000             0.12500           1000
KinoSat_110310           1306.94             0.50000             0.12500           1000
KinoSat_110401           1507.64             0.50000             0.12500           1000
KinoSat_110402           1471.77             0.50000             0.12500           1000
KinoSat_110403           1452.23             0.50000             0.12500           1000
KinoSat_110404           1415.07             0.50000             0.12500           1000
KinoSat_110405           1349.10             0.50000             0.12500           1000
KinoSat_110406           1452.28             0.50000             0.12500           1000
KinoSat_110407           1384.32             0.50000             0.12500           1000
KinoSat_110408           1422.06             0.50000             0.12500           1000
KinoSat_110409           1503.62             0.50000             0.12500           1000
KinoSat_110410           1436.76             0.50000             0.12500           1000
KinoSat_110501           1456.45             0.50000             0.12500           1000
KinoSat_110502           1493.70             0.50000             0.12500           1000
KinoSat_110503           1548.49             0.50000             0.12500           1000
KinoSat_110504           1490.88             0.50000             0.12500           1000
KinoSat_110505           1511.07             0.50000             0.12500           1000
KinoSat_110506           1502.73             0.50000             0.12500           1000
KinoSat_110507           1567.06             0.50000             0.12500           1000
KinoSat_110508           1609.83             0.50000             0.12500           1000
KinoSat_110509           1573.38             0.50000             0.12500           1000
KinoSat_110510           1476.78             0.50000             0.12500           1000
KinoSat_110601           3010.90             0.50000             0.03125            500
KinoSat_110602           3021.37             0.50000             0.03125            500
KinoSat_110603           3050.82             0.50000             0.03125            500
KinoSat_110604           3105.18             0.50000             0.03125            500
KinoSat_110605           3035.27             0.50000             0.03125            500
KinoSat_110606           3010.58             0.50000             0.03125            500
KinoSat_110607           3013.62             0.50000             0.03125            500
KinoSat_110608           3013.65             0.50000             0.03125            500
KinoSat_110609           3044.66             0.50000             0.03125            500
KinoSat_110610           2996.94             0.50000             0.03125            500
KinoSat_110701           2836.79             0.50000             0.03125            500
KinoSat_110702           2816.17             0.50000             0.03125            500
KinoSat_110703           2810.74             0.50000             0.03125            500
KinoSat_110704           2835.50             0.50000             0.03125            500
KinoSat_110705           2862.94             0.50000             0.03125            500
KinoSat_110706           2842.06             0.50000             0.03125            500
KinoSat_110707           2905.88             0.50000             0.03125            500
KinoSat_110708           2870.44             0.50000             0.03125            500
KinoSat_110709           2906.91             0.50000             0.03125            500
KinoSat_110710           2899.98             0.50000             0.03125            500
KinoSat_110801           2746.67             0.50000             0.03125            500
KinoSat_110802           2763.07             0.50000             0.03125            500
KinoSat_110803           2863.24             0.50000             0.03125            500
KinoSat_110804           2829.38             0.50000             0.03125            500
KinoSat_110805           2824.28             0.50000             0.03125            500
KinoSat_110806           2841.76             0.50000             0.03125            500
KinoSat_110807           2845.32             0.50000             0.03125            500
KinoSat_110808           2814.51             0.50000             0.03125            500
KinoSat_110809           2784.38             0.50000             0.03125            500
KinoSat_110810           2741.48             0.50000             0.03125            500
KinoSat_110901           2665.50             0.50000             0.03125            500
KinoSat_110902           2670.66             0.50000             0.03125            500
KinoSat_110903           2679.48             0.50000             0.03125            500
KinoSat_110904           2678.40             0.50000             0.03125            500
KinoSat_110905           2703.22             0.50000             0.03125            500
KinoSat_110906           2686.04             0.50000             0.03125            500
KinoSat_110907           2669.96             0.50000             0.03125            500
KinoSat_110908           2691.65             0.50000             0.03125            500
KinoSat_110909           2671.39             0.50000             0.03125            500
KinoSat_110910           2622.38             0.50000             0.03125            500
KinoSat_111001           2613.82             0.50000             0.03125            500
KinoSat_111002           2665.12             0.50000             0.03125            500
KinoSat_111003           2669.70             0.50000             0.03125            500
KinoSat_111004           2694.91             0.50000             0.03125            500
KinoSat_111005           2674.55             0.50000             0.03125            500
KinoSat_111006           2684.29             0.50000             0.03125            500
KinoSat_111007           2712.33             0.50000             0.03125            500
KinoSat_111008           2694.08             0.50000             0.03125            500
KinoSat_111009           2667.22             0.50000             0.03125            500
KinoSat_111010           2667.86             0.50000             0.03125            500
KinoSat_111101           2585.70             0.50000             0.03125            500
KinoSat_111102           2655.26             0.50000             0.03125            500
KinoSat_111103           2613.80             0.50000             0.03125            500
KinoSat_111104           2651.68             0.50000             0.03125            500
KinoSat_111105           2648.35             0.50000             0.03125            500
KinoSat_111106           2595.72             0.50000             0.03125            500
KinoSat_111107           2606.37             0.50000             0.03125            500
KinoSat_111108           2583.06             0.50000             0.03125            500
KinoSat_111109           2579.05             0.50000             0.03125            500
KinoSat_111110           2569.44             0.50000             0.03125            500
KinoSat_111201           2638.42             0.50000             0.03125            500
KinoSat_111202           2680.80             0.50000             0.03125            500
KinoSat_111203           2666.62             0.50000             0.03125            500
KinoSat_111204           2641.58             0.50000             0.03125            500
KinoSat_111205           2627.55             0.50000             0.03125            500
KinoSat_111206           2620.16             0.50000             0.03125            500
KinoSat_111207           2629.93             0.50000             0.03125            500
KinoSat_111208           2607.40             0.50000             0.03125            500
KinoSat_111209           2641.20             0.50000             0.03125            500
KinoSat_111210           2618.15             0.50000             0.03125            500
KinoSat_111301           2671.48             0.50000             0.03125            500
KinoSat_111302           2673.43             0.50000             0.03125            500
KinoSat_111303           2618.35             0.50000             0.03125            500
KinoSat_111304           2675.28             0.50000             0.03125            500
KinoSat_111305           2616.00             0.50000             0.03125            500
KinoSat_111306           2641.57             0.50000             0.03125            500
KinoSat_111307           2668.62             0.50000             0.03125            500
KinoSat_111308           2646.13             0.50000             0.03125            500
KinoSat_111309           2646.24             0.50000             0.03125            500
KinoSat_111310           2610.35             0.50000             0.03125            500
KinoSat_111401           2665.70             0.50000             0.03125            500
KinoSat_111402           2676.97             0.50000             0.03125            500
KinoSat_111403           2637.75             0.50000             0.03125            500
KinoSat_111404           2638.27             0.50000             0.03125            500
KinoSat_111405           2691.12             0.50000             0.03125            500
KinoSat_111406           2691.53             0.50000             0.03125            500
KinoSat_111407           2660.44             0.50000             0.03125            500
KinoSat_111408           2620.53             0.50000             0.03125            500
KinoSat_111409           2569.25             0.50000             0.03125            500
KinoSat_111410           2606.86             0.50000             0.03125            500
KinoSat_111501           2704.78             0.50000             0.03125            500
KinoSat_111502           2760.72             0.50000             0.03125            500
KinoSat_111503           2725.89             0.50000             0.03125            500
KinoSat_111504           2710.18             0.50000             0.03125            500
KinoSat_111505           2728.32             0.50000             0.03125            500
KinoSat_111506           2731.73             0.50000             0.03125            500
KinoSat_111507           2695.77             0.50000             0.03125            500
KinoSat_111508           2670.45             0.50000             0.03125            500
KinoSat_111509           2608.49             0.50000             0.03125            500
KinoSat_111510           2645.47             0.50000             0.03125            500
KinoSat_111601           2717.13             0.50000             0.03125            500
KinoSat_111602           2674.66             0.50000             0.03125            500
KinoSat_111603           2678.35             0.50000             0.03125            500
KinoSat_111604           2716.82             0.50000             0.03125            500
KinoSat_111605           2684.85             0.50000             0.03125            500
KinoSat_111606           2654.64             0.50000             0.03125            500
KinoSat_111607           2597.55             0.50000             0.03125            500
KinoSat_111608           2604.66             0.50000             0.03125            500
KinoSat_111609           2691.08             0.50000             0.03125            500
KinoSat_111610           2700.55             0.50000             0.03125            500
KinoSat_111701           2708.95             0.50000             0.03125            500
KinoSat_111702           2748.52             0.50000             0.03125            500
KinoSat_111703           2684.89             0.50000             0.03125            500
KinoSat_111704           2697.56             0.50000             0.03125            500
KinoSat_111705           2736.72             0.50000             0.03125            500
KinoSat_111706           2690.55             0.50000             0.03125            500
KinoSat_111707           2681.59             0.50000             0.03125            500
KinoSat_111708           2656.17             0.50000             0.03125            500
KinoSat_111709           2707.87             0.50000             0.03125            500
KinoSat_111710           2734.29             0.50000             0.03125            500
KinoSat_111801           2752.33             0.50000             0.03125            500
KinoSat_111802           2697.84             0.50000             0.03125            500
KinoSat_111803           2786.59             0.50000             0.03125            500
KinoSat_111804           2793.12             0.50000             0.03125            500
KinoSat_111805           2757.52             0.50000             0.03125            500
KinoSat_111806           2694.73             0.50000             0.03125            500
KinoSat_111807           2653.91             0.50000             0.03125            500
KinoSat_111808           2660.07             0.50000             0.03125            500
KinoSat_111809           2741.31             0.50000             0.03125            500
KinoSat_111810           2698.37             0.50000             0.03125            500
KinoSat_111901           2803.79             0.50000             0.03125            500
KinoSat_111902           2841.96             0.50000             0.03125            500
KinoSat_111903           2846.99             0.50000             0.03125            500
KinoSat_111904           2842.75             0.50000             0.03125            500
KinoSat_111905           2869.52             0.50000             0.03125            500
KinoSat_111906           2776.65             0.50000             0.03125            500
KinoSat_111907           2723.84             0.50000             0.03125            500
KinoSat_111908           2754.85             0.50000             0.03125            500
KinoSat_111909           2833.76             0.50000             0.03125            500
KinoSat_111910           2795.20             0.50000             0.03125            500
KinoSat_112001           2901.38             0.50000             0.03125            500
KinoSat_112002           3017.52             0.50000             0.03125            500
KinoSat_112003           3032.96             0.50000             0.03125            500
KinoSat_112004           3069.36             0.50000             0.03125            500
KinoSat_112005           3112.07             0.50000             0.03125            500
KinoSat_112006           2966.61             0.50000             0.03125            500
KinoSat_112007           2951.67             0.50000             0.03125            500
KinoSat_112008           2915.06             0.50000             0.03125            500
KinoSat_112009           2924.37             0.50000             0.03125            500
KinoSat_112010           2943.69             0.50000             0.03125            500
